ROI;Condition;Subject;Volume;Vertices;PSC
V1;KANIZSA;3;10;4974.0;0.0018319785629322177
V1;KANIZSA_ROTATED;0;0;12379.0;0.00011013854633678089
V1;KANIZSA_ROTATED;0;1;12379.0;-0.0014761144464666193
V1;KANIZSA_ROTATED;0;2;12379.0;-0.005412388931621204
V1;KANIZSA_ROTATED;0;3;12379.0;-0.005471137436953458
V1;KANIZSA_ROTATED;0;4;12379.0;-0.00429612398147583
V1;KANIZSA_ROTATED;0;5;12379.0;-0.00394362211227417
V1;KANIZSA_ROTATED;0;6;12379.0;-0.0018873594023964622
V1;KANIZSA_ROTATED;0;7;12379.0;-0.00270987098867243
V1;KANIZSA_ROTATED;0;8;12379.0;-0.0010061101479963822
V1;KANIZSA_ROTATED;0;9;12379.0;-0.000771099870855158
V1;KANIZSA_ROTATED;0;10;12379.0;0.0015789162028919566
V1;KANIZSA_ROTATED;1;0;5775.0;-0.0003935207020152699
V1;KANIZSA_ROTATED;1;1;5775.0;0.0006769245321100408
V1;KANIZSA_ROTATED;1;2;5775.0;0.0008028420535000888
V1;KANIZSA_ROTATED;1;3;5775.0;0.003006685863841664
V1;KANIZSA_ROTATED;1;4;5775.0;0.003951181064952503
V1;KANIZSA_ROTATED;1;5;5775.0;0.002188108184120872
V1;KANIZSA_ROTATED;1;6;5775.0;0.0023140582171353426
V1;KANIZSA_ROTATED;1;7;5775.0;0.0052735046906904745
V1;KANIZSA_ROTATED;1;8;5775.0;0.008044069463556463
V1;KANIZSA_ROTATED;1;9;5775.0;0.008673743768171831
V1;KANIZSA_ROTATED;1;10;5775.0;0.00747735933824019
V1;KANIZSA_ROTATED;2;0;7180.0;0.0014687234705144708
V1;KANIZSA_ROTATED;2;1;7180.0;-5.0653110850941054e-05
V1;KANIZSA_ROTATED;2;2;7180.0;-0.0037984197789972477
V1;KANIZSA_ROTATED;2;3;7180.0;-0.003950379111550071
V1;KANIZSA_ROTATED;2;4;7180.0;-0.004912636496803977
V1;KANIZSA_ROTATED;2;5;7180.0;-0.004558118906888095
V1;KANIZSA_ROTATED;2;6;7180.0;-0.0036464983766729183
V1;KANIZSA_ROTATED;2;7;7180.0;-0.0016206665472550826
V1;KANIZSA_ROTATED;2;8;7180.0;-0.000759699127890847
V1;KANIZSA_ROTATED;2;9;7180.0;0.0008609511635520241
V1;KANIZSA_ROTATED;2;10;7180.0;0.0026335824619640002
V1;KANIZSA_ROTATED;3;0;4974.0;0.0018642490560358221
V1;KANIZSA_ROTATED;3;1;4974.0;0.0015503687734600728
V1;KANIZSA_ROTATED;3;2;4974.0;-0.004150219540593863
V1;KANIZSA_ROTATED;3;3;4974.0;-0.007871064311192293
V1;KANIZSA_ROTATED;3;4;4974.0;-0.005403338670735866
V1;KANIZSA_ROTATED;3;5;4974.0;-0.0017898750873387942
V1;KANIZSA_ROTATED;3;6;4974.0;-0.003918370432227708
V1;KANIZSA_ROTATED;3;7;4974.0;-0.000304181128750121
V1;KANIZSA_ROTATED;3;8;4974.0;0.00423971937631993
V1;KANIZSA_ROTATED;3;9;4974.0;0.0057337160290508475
V1;KANIZSA_ROTATED;3;10;4974.0;0.005393856441719262
V1;BRIGHT_SQUARE;0;0;12379.0;0.0011089173230257902
V1;BRIGHT_SQUARE;0;1;12379.0;-0.00270987098867243
V1;BRIGHT_SQUARE;0;2;12379.0;-0.005882393230091442
V1;BRIGHT_SQUARE;0;3;12379.0;-0.003062362020665949
V1;BRIGHT_SQUARE;0;4;12379.0;-0.006411146033893932
V1;BRIGHT_SQUARE;0;5;12379.0;-0.005529891360889782
V1;BRIGHT_SQUARE;0;6;12379.0;-0.004942390051755038
V1;BRIGHT_SQUARE;0;7;12379.0;-0.003826119683005593
V1;BRIGHT_SQUARE;0;8;12379.0;-0.0002423362298445268
V1;BRIGHT_SQUARE;0;9;12379.0;-0.0006536028601906517
