ROI;Condition;Subject;Depth;Vertices;PSC
V1;KANIZSA_ROTATED;3;10;6150.0;-0.07562190295268802
V1;BRIGHT_SQUARE;0;0;12595.0;-0.2333920761625522
V1;BRIGHT_SQUARE;0;1;12595.0;-0.17607730907803376
V1;BRIGHT_SQUARE;0;2;12595.0;-0.14355008942406158
V1;BRIGHT_SQUARE;0;3;12595.0;-0.1277691641539732
V1;BRIGHT_SQUARE;0;4;12595.0;-0.12069328022110613
V1;BRIGHT_SQUARE;0;5;12595.0;-0.11431956883942826
V1;BRIGHT_SQUARE;0;6;12595.0;-0.10376134903792575
V1;BRIGHT_SQUARE;0;7;12595.0;-0.08949867362988431
V1;BRIGHT_SQUARE;0;8;12595.0;-0.07254221944754442
V1;BRIGHT_SQUARE;0;9;12595.0;-0.05390266332314645
V1;BRIGHT_SQUARE;0;10;12595.0;-0.03459068208893075
V1;BRIGHT_SQUARE;1;0;6435.0;0.13386839559520788
V1;BRIGHT_SQUARE;1;1;6435.0;0.14375847346311044
V1;BRIGHT_SQUARE;1;2;6435.0;0.1816977696970847
V1;BRIGHT_SQUARE;1;3;6435.0;0.2447738247224423
V1;BRIGHT_SQUARE;1;4;6435.0;0.33007417896449487
V1;BRIGHT_SQUARE;1;5;6435.0;0.43458715196504305
V1;BRIGHT_SQUARE;1;6;6435.0;0.5472459150589363
V1;BRIGHT_SQUARE;1;7;6435.0;0.6431109725320571
V1;BRIGHT_SQUARE;1;8;6435.0;0.6958711991766344
V1;BRIGHT_SQUARE;1;9;6435.0;0.6792154697848966
V1;BRIGHT_SQUARE;1;10;6435.0;0.5668326591490711
V1;BRIGHT_SQUARE;2;0;6150.0;0.17008901521057293
V1;BRIGHT_SQUARE;2;1;6150.0;0.18611468427093922
V1;BRIGHT_SQUARE;2;2;6150.0;0.1989321301589868
V1;BRIGHT_SQUARE;2;3;6150.0;0.20597548422965925
V1;BRIGHT_SQUARE;2;4;6150.0;0.2046788778379002
V1;BRIGHT_SQUARE;2;5;6150.0;0.1925090203949552
V1;BRIGHT_SQUARE;2;6;6150.0;0.16957743823488852
V1;BRIGHT_SQUARE;2;7;6150.0;0.14055059121167957
V1;BRIGHT_SQUARE;2;8;6150.0;0.1105452982296262
V1;BRIGHT_SQUARE;2;9;6150.0;0.08467837819302614
V1;BRIGHT_SQUARE;2;10;6150.0;0.06806665000617715
V1;BRIGHT_SQUARE;3;0;6150.0;0.23980965953585703
V1;BRIGHT_SQUARE;3;1;6150.0;0.1782846668274203
V1;BRIGHT_SQUARE;3;2;6150.0;0.13875260668349282
V1;BRIGHT_SQUARE;3;3;6150.0;0.11362460118212116
V1;BRIGHT_SQUARE;3;4;6150.0;0.09531177240135187
V1;BRIGHT_SQUARE;3;5;6150.0;0.07627331858571161
V1;BRIGHT_SQUARE;3;6;6150.0;0.052871453479239675
V1;BRIGHT_SQUARE;3;7;6150.0;0.028190208118543822
V1;BRIGHT_SQUARE;3;8;6150.0;0.005978218465651374
V1;BRIGHT_SQUARE;3;9;6150.0;-0.010015879517410361
V1;BRIGHT_SQUARE;3;10;6150.0;-0.016043449868614057
V2;KANIZSA;0;0;12042.0;-0.19911599449129141
V2;KANIZSA;0;1;12042.0;-0.17568048955308643
V2;KANIZSA;0;2;12042.0;-0.18005361364691347
V2;KANIZSA;0;3;12042.0;-0.2006515894340477
V2;KANIZSA;0;4;12042.0;-0.22589063957576422
V2;KANIZSA;0;5;12042.0;-0.2441869867333381
V2;KANIZSA;0;6;12042.0;-0.24395685356804447
V2;KANIZSA;0;7;12042.0;-0.21437149944126893
V2;KANIZSA;0;8;12042.0;-0.16253956483549556
V2;KANIZSA;0;9;12042.0;-0.11383045737921971
V2;KANIZSA;0;10;12042.0;-0.09443330507925221
V2;KANIZSA;1;0;5674.0;-0.2519790871173175
V2;KANIZSA;1;1;5674.0;-0.14962786801925718
V2;KANIZSA;1;2;5674.0;-0.046264393845117845
V2;KANIZSA;1;3;5674.0;0.04581107895621945
V2;KANIZSA;1;4;5674.0;0.11429829393587375
V2;KANIZSA;1;5;5674.0;0.1468969946449642
V2;KANIZSA;1;6;5674.0;0.1313069246346097
V2;KANIZSA;1;7;5674.0;0.0567272633684189
V2;KANIZSA;1;8;5674.0;-0.05202076188086672
V2;KANIZSA;1;9;5674.0;-0.13385166007116803
V2;KANIZSA;1;10;5674.0;-0.12605204820062954
V2;KANIZSA;2;0;6468.0;-0.2690342477999281
V2;KANIZSA;2;1;6468.0;-0.20077953238132534
V2;KANIZSA;2;2;6468.0;-0.21303493831605416
V2;KANIZSA;2;3;6468.0;-0.27710011341725144
V2;KANIZSA;2;4;6468.0;-0.3642747054980538
V2;KANIZSA;2;5;6468.0;-0.4458583623715983
V2;KANIZSA;2;6;6468.0;-0.49315073185102165
V2;KANIZSA;2;7;6468.0;-0.47884644520408476
V2;KANIZSA;2;8;6468.0;-0.4087807080303106
V2;KANIZSA;2;9;6468.0;-0.322526778706924
V2;KANIZSA;2;10;6468.0;-0.2611724067146965
V2;KANIZSA;3;0;6468.0;-0.2759981310819797
V2;KANIZSA;3;1;6468.0;-0.24029163739610718
V2;KANIZSA;3;2;6468.0;-0.29449169031876415
V2;KANIZSA;3;3;6468.0;-0.39973609206022775
V2;KANIZSA;3;4;6468.0;-0.5171626448307752
V2;KANIZSA;3;5;6468.0;-0.6079091508406839
V2;KANIZSA;3;6;6468.0;-0.6331134123002308
V2;KANIZSA;3;7;6468.0;-0.5563866590064913
V2;KANIZSA;3;8;6468.0;-0.4001012555375957
V2;KANIZSA;3;9;6468.0;-0.24645008275708102
V2;KANIZSA;3;10;6468.0;-0.1803113466218072
V2;KANIZSA_ROTATED;0;0;12042.0;-0.33677552338282535
V2;KANIZSA_ROTATED;0;1;12042.0;-0.2760905320816751
V2;KANIZSA_ROTATED;0;2;12042.0;-0.27813152758148274
V2;KANIZSA_ROTATED;0;3;12042.0;-0.32066645738422683
V2;KANIZSA_ROTATED;0;4;12042.0;-0.3814632689918859
V2;KANIZSA_ROTATED;0;5;12042.0;-0.43828990990643835
V2;KANIZSA_ROTATED;0;6;12042.0;-0.4689143276298628
V2;KANIZSA_ROTATED;0;7;12042.0;-0.4521696350207254
V2;KANIZSA_ROTATED;0;8;12042.0;-0.39219404196838303
V2;KANIZSA_ROTATED;0;9;12042.0;-0.31888707108487147
V2;KANIZSA_ROTATED;0;10;12042.0;-0.26330466260926705
V2;KANIZSA_ROTATED;1;0;5674.0;0.044136376401766854
V2;KANIZSA_ROTATED;1;1;5674.0;0.006818307937662084
V2;KANIZSA_ROTATED;1;2;5674.0;-0.009244590894996735
V2;KANIZSA_ROTATED;1;3;5674.0;-0.012499486251436692
V2;KANIZSA_ROTATED;1;4;5674.0;-0.011393544286884903
V2;KANIZSA_ROTATED;1;5;5674.0;-0.014373931156568466
V2;KANIZSA_ROTATED;1;6;5674.0;-0.029887813015714505
V2;KANIZSA_ROTATED;1;7;5674.0;-0.0656803538953504
V2;KANIZSA_ROTATED;1;8;5674.0;-0.11281927731566757
V2;KANIZSA_ROTATED;1;9;5674.0;-0.145394195237327
V2;KANIZSA_ROTATED;1;10;5674.0;-0.13673257726851432
V2;KANIZSA_ROTATED;2;0;6468.0;-0.23617228122324685
V2;KANIZSA_ROTATED;2;1;6468.0;-0.16082639579840555
V2;KANIZSA_ROTATED;2;2;6468.0;-0.1354841994214368
V2;KANIZSA_ROTATED;2;3;6468.0;-0.1443652321471481
V2;KANIZSA_ROTATED;2;4;6468.0;-0.17168903403034697
V2;KANIZSA_ROTATED;2;5;6468.0;-0.20167514512584092
V2;KANIZSA_ROTATED;2;6;6468.0;-0.21854310548843744
V2;KANIZSA_ROTATED;2;7;6468.0;-0.20732267651006073
V2;KANIZSA_ROTATED;2;8;6468.0;-0.17229202024207638
V2;KANIZSA_ROTATED;2;9;6468.0;-0.13732472127842782
V2;KANIZSA_ROTATED;2;10;6468.0;-0.1271739968731444
V2;KANIZSA_ROTATED;3;0;6468.0;-0.23617228122324685
V2;KANIZSA_ROTATED;3;1;6468.0;-0.16082639579840555
V2;KANIZSA_ROTATED;3;2;6468.0;-0.1354841994214368
V2;KANIZSA_ROTATED;3;3;6468.0;-0.1443652321471481
V2;KANIZSA_ROTATED;3;4;6468.0;-0.17168903403034697
V2;KANIZSA_ROTATED;3;5;6468.0;-0.20167514512584092
V2;KANIZSA_ROTATED;3;6;6468.0;-0.21854310548843744
V2;KANIZSA_ROTATED;3;7;6468.0;-0.20732267651006073
V2;KANIZSA_ROTATED;3;8;6468.0;-0.17229202024207638
V2;KANIZSA_ROTATED;3;9;6468.0;-0.13732472127842782
V2;KANIZSA_ROTATED;3;10;6468.0;-0.1271739968731444
V2;BRIGHT_SQUARE;0;0;12042.0;-0.24743532146079383
V2;BRIGHT_SQUARE;0;1;12042.0;-0.218615469929577
V2;BRIGHT_SQUARE;0;2;12042.0;-0.22486820147241462
V2;BRIGHT_SQUARE;0;3;12042.0;-0.2529651540812071
V2;BRIGHT_SQUARE;0;4;12042.0;-0.28967796574785476
V2;BRIGHT_SQUARE;0;5;12042.0;-0.32177827446425816
V2;BRIGHT_SQUARE;0;6;12042.0;-0.3360377182223176
V2;BRIGHT_SQUARE;0;7;12042.0;-0.3199849698317711
V2;BRIGHT_SQUARE;0;8;12042.0;-0.27913355243811944
V2;BRIGHT_SQUARE;0;9;12042.0;-0.23730608135143405
V2;BRIGHT_SQUARE;0;10;12042.0;-0.21914706155573868
V2;BRIGHT_SQUARE;1;0;5674.0;0.07525873509704353
V2;BRIGHT_SQUARE;1;1;5674.0;0.06392605699805448
V2;BRIGHT_SQUARE;1;2;5674.0;0.13533882140439088
V2;BRIGHT_SQUARE;1;3;5674.0;0.257538062625443
V2;BRIGHT_SQUARE;1;4;5674.0;0.3985648149706012
