ROI;Condition;Subject;Depth;Vertices;PSC
V1;PS;3;2;2226.0;-0.6514851429495234
V1;PS;3;3;2226.0;-0.8063684248829355
V1;PS;3;4;2226.0;-1.077150578803593
V1;PS;3;5;2226.0;-1.4487500494711572
V1;PS;3;6;2226.0;-1.88039060914395
V1;PS;3;7;2226.0;-2.2870443754383945
V1;PS;3;8;2226.0;-2.5793081807834612
V1;PS;3;9;2226.0;-2.6677788576081176
V1;PS;3;10;2226.0;-2.4630532383413297
V1;PS;4;0;2177.0;-1.1738749465297604
V1;PS;4;1;2177.0;-0.9548475476033191
V1;PS;4;2;2177.0;-0.8083710710601776
V1;PS;4;3;2177.0;-0.7657683269657788
V1;PS;4;4;2177.0;-0.858362125385565
V1;PS;4;5;2177.0;-1.1168579843325752
V1;PS;4;6;2177.0;-1.5218471838374934
V1;PS;4;7;2177.0;-1.9676136983321004
V1;PS;4;8;2177.0;-2.339908056915749
V1;PS;4;9;2177.0;-2.524480788687791
V1;PS;4;10;2177.0;-2.4070824227475756
V1;PS;5;0;3083.0;-1.4396178524294703
V1;PS;5;1;3083.0;-1.3329283190308863
V1;PS;5;2;3083.0;-1.604412539167199
V1;PS;5;3;3083.0;-2.078241034659884
V1;PS;5;4;3083.0;-2.578584327330416
V1;PS;5;5;3083.0;-2.930543778517959
V1;PS;5;6;3083.0;-3.0347900249656985
V1;PS;5;7;3083.0;-2.922139961421943
V1;PS;5;8;3083.0;-2.6362784081275303
V1;PS;5;9;3083.0;-2.220890185323296
V1;PS;5;10;3083.0;-1.7196601132500748
V1;PS;6;0;2164.0;-1.1652279555160232
V1;PS;6;1;2164.0;-0.9504268779168468
V1;PS;6;2;2164.0;-0.9170905249872522
V1;PS;6;3;2164.0;-0.9885285677977517
V1;PS;6;4;2164.0;-1.0880506774188563
V1;PS;6;5;2164.0;-1.1393942391493832
V1;PS;6;6;2164.0;-1.1010201901988848
V1;PS;6;7;2164.0;-0.9911907603216422
V1;PS;6;8;2164.0;-0.8340809007640296
V1;PS;6;9;2164.0;-0.6538655627724205
V1;PS;6;10;2164.0;-0.4747196975931877
V1;CD;0;0;4100.0;-1.0258978222375383
V1;CD;0;1;4100.0;-0.9206919277539839
V1;CD;0;2;4100.0;-1.0577462581713528
V1;CD;0;3;4100.0;-1.3530138478213791
V1;CD;0;4;4100.0;-1.7224477310357968
V1;CD;0;5;4100.0;-2.0821744783089033
V1;CD;0;6;4100.0;-2.3624090199565124
V1;CD;0;7;4100.0;-2.5176294183993435
V1;CD;0;8;4100.0;-2.5047126999693905
V1;CD;0;9;4100.0;-2.280535890998646
V1;CD;0;10;4100.0;-1.8019760178191002
V1;CD;1;0;3246.0;-1.8406138729711206
V1;CD;1;1;3246.0;-1.6151854104984569
V1;CD;1;2;3246.0;-1.71955839373329
V1;CD;1;3;3246.0;-2.0558754641389143
V1;CD;1;4;3246.0;-2.526279263178626
V1;CD;1;5;3246.0;-3.0329940776780444
V1;CD;1;6;3246.0;-3.484872491557618
V1;CD;1;7;3246.0;-3.80218241671634
V1;CD;1;8;3246.0;-3.906320430541961
V1;CD;1;9;3246.0;-3.71868311042223
V1;CD;1;10;3246.0;-3.1606670337448928
V1;CD;2;0;2913.0;-0.8254987582811488
V1;CD;2;1;2913.0;-0.8028282931586078
V1;CD;2;2;2913.0;-0.88097511588022
V1;CD;2;3;2913.0;-1.0291492099255464
V1;CD;2;4;2913.0;-1.2165605587741477
V1;CD;2;5;2913.0;-1.412412277357916
V1;CD;2;6;2913.0;-1.5853498644347546
