ROI;Condition;Subject;Volume;Vertices;PSC
V1;BRIGHT_SQUARE;0;1;2329.0;0.012139439582824707
V1;BRIGHT_SQUARE;0;2;2329.0;0.02033645456487482
V1;BRIGHT_SQUARE;0;3;2329.0;0.02587923136624423
V1;BRIGHT_SQUARE;0;4;2329.0;0.023146878589283337
V1;BRIGHT_SQUARE;0;5;2329.0;0.021273266185413708
V1;BRIGHT_SQUARE;0;6;2329.0;0.022366209463639694
V1;BRIGHT_SQUARE;0;7;2329.0;0.02353721315210516
V1;BRIGHT_SQUARE;0;8;2329.0;0.017135706814852627
V1;BRIGHT_SQUARE;0;9;2329.0;0.014949841932816938
V1;BRIGHT_SQUARE;0;10;2329.0;0.010343876751986418
V1;BRIGHT_SQUARE;1;0;2213.0;0.0024236874146894975
V1;BRIGHT_SQUARE;1;1;2213.0;0.010393142700195312
V1;BRIGHT_SQUARE;1;2;2213.0;0.018444733186201615
V1;BRIGHT_SQUARE;1;3;2213.0;0.022388360717079857
V1;BRIGHT_SQUARE;1;4;2213.0;0.02271700989116322
V1;BRIGHT_SQUARE;1;5;2213.0;0.021977576342496006
V1;BRIGHT_SQUARE;1;6;2213.0;0.024113687601956455
V1;BRIGHT_SQUARE;1;7;2213.0;0.025592576373707165
V1;BRIGHT_SQUARE;1;8;2213.0;0.018526868386702103
V1;BRIGHT_SQUARE;1;9;2213.0;0.012282805009321733
V1;BRIGHT_SQUARE;1;10;2213.0;0.007846203717318449
V1;BRIGHT_SQUARE;2;0;1216.0;0.0014952367002313788
V1;BRIGHT_SQUARE;2;1;1216.0;0.007102272727272727
V1;BRIGHT_SQUARE;2;2;1216.0;0.013083154504949396
V1;BRIGHT_SQUARE;2;3;1216.0;0.020409692417491566
V1;BRIGHT_SQUARE;2;4;1216.0;0.020409670743075283
V1;BRIGHT_SQUARE;2;5;1216.0;0.01839115402915261
V1;BRIGHT_SQUARE;2;6;1216.0;0.016746423461220482
V1;BRIGHT_SQUARE;2;7;1216.0;0.01450358737598766
V1;BRIGHT_SQUARE;2;8;1216.0;0.012410293925892223
V1;BRIGHT_SQUARE;2;9;1216.0;0.007924632592634722
V1;BRIGHT_SQUARE;2;10;1216.0;0.007550835609436035
V1;BRIGHT_SQUARE;3;0;1359.0;0.0014952367002313788
V1;BRIGHT_SQUARE;3;1;1359.0;0.007102272727272727
V1;BRIGHT_SQUARE;3;2;1359.0;0.013083154504949396
V1;BRIGHT_SQUARE;3;3;1359.0;0.020409692417491566
V1;BRIGHT_SQUARE;3;4;1359.0;0.020409670743075283
V1;BRIGHT_SQUARE;3;5;1359.0;0.01839115402915261
V1;BRIGHT_SQUARE;3;6;1359.0;0.016746423461220482
V1;BRIGHT_SQUARE;3;7;1359.0;0.01450358737598766
V1;BRIGHT_SQUARE;3;8;1359.0;0.012410293925892223
V1;BRIGHT_SQUARE;3;9;1359.0;0.007924632592634722
V1;BRIGHT_SQUARE;3;10;1359.0;0.007550835609436035
V2;KANIZSA;0;0;2329.0;0.003864331678910689
V2;KANIZSA;0;1;2329.0;0.013232382861050692
V2;KANIZSA;0;2;2329.0;0.017994479699568314
V2;KANIZSA;0;3;2329.0;0.017916375940496273
V2;KANIZSA;0;4;2329.0;0.015574379400773481
V2;KANIZSA;0;5;2329.0;0.01768218387256969
V2;KANIZSA;0;6;2329.0;0.013310443271290173
V2;KANIZSA;0;7;2329.0;0.017447991804643112
V2;KANIZSA;0;8;2329.0;0.01541823690587824
V2;KANIZSA;0;9;2329.0;0.014325293627652254
V2;KANIZSA;0;10;2329.0;0.014871770685369318
V2;KANIZSA;1;0;2213.0;0.0013556372035633433
V2;KANIZSA;1;1;2213.0;0.007599722255359997
V2;KANIZSA;1;2;2213.0;0.017294493588534268
V2;KANIZSA;1;3;2213.0;0.022388360717079857
V2;KANIZSA;1;4;2213.0;0.026332009922374378
V2;KANIZSA;1;5;2213.0;0.02115597508170388
V2;KANIZSA;1;6;2213.0;0.02099166133187034
V2;KANIZSA;1;7;2213.0;0.0230456373908303
V2;KANIZSA;1;8;2213.0;0.016883709213950417
V2;KANIZSA;1;9;2213.0;0.015569145029241388
V2;KANIZSA;1;10;2213.0;0.011707674373279919
V2;KANIZSA;2;0;1216.0;0.0009719133377075195
V2;KANIZSA;2;1;1216.0;0.005831328305331143
V2;KANIZSA;2;2;1216.0;0.014653097499500622
V2;KANIZSA;2;3;1216.0;0.018989248709245163
V2;KANIZSA;2;4;1216.0;0.018241600556807083
V2;KANIZSA;2;5;1216.0;0.01278409090909091
V2;KANIZSA;2;6;1216.0;0.014204545454545454
V2;KANIZSA;2;7;1216.0;0.013157898729497736
V2;KANIZSA;2;8;1216.0;0.010765520009127531
V2;KANIZSA;2;9;1216.0;0.008298429575833407
V2;KANIZSA;2;10;1216.0;0.008821769194169478
V2;KANIZSA;3;0;1359.0;0.003077138553966155
V2;KANIZSA;3;1;1359.0;0.004663552096212709
V2;KANIZSA;3;2;1359.0;0.012545122281267928
V2;KANIZSA;3;3;1359.0;0.016703957041157104
V2;KANIZSA;3;4;1359.0;0.015336051649327337
V2;KANIZSA;3;5;1359.0;0.009787948983536954
V2;KANIZSA;3;6;1359.0;0.01035258754829989
V2;KANIZSA;3;7;1359.0;0.01047715777512685
V2;KANIZSA;3;8;1359.0;0.008199080214419901
V2;KANIZSA;3;9;1359.0;0.007587346439434564
V2;KANIZSA;3;10;1359.0;0.0038559685182521053
V2;KANIZSA_ROTATED;0;0;2329.0;0.0037081891840154476
V2;KANIZSA_ROTATED;0;1;2329.0;0.011671033772555265
V2;KANIZSA_ROTATED;0;2;2329.0;0.021039063280278988
V2;KANIZSA_ROTATED;0;3;2329.0;0.025176622650840065
V2;KANIZSA_ROTATED;0;4;2329.0;0.024239821867509323
V2;KANIZSA_ROTATED;0;5;2329.0;0.024786298925226383
V2;KANIZSA_ROTATED;0;6;2329.0;0.025566957213661888
V2;KANIZSA_ROTATED;0;7;2329.0;0.024474035609852184
V2;KANIZSA_ROTATED;0;8;2329.0;0.016667311841791325
V2;KANIZSA_ROTATED;0;9;2329.0;0.013700766996903853
V2;KANIZSA_ROTATED;0;10;2329.0;0.0069089369340376424
V2;KANIZSA_ROTATED;1;0;2213.0;4.109469327059659e-05
V2;KANIZSA_ROTATED;1;1;2213.0;0.009735866026444868
V2;KANIZSA_ROTATED;1;2;2213.0;0.020252227783203125
V2;KANIZSA_ROTATED;1;3;2213.0;0.02452450448816473
V2;KANIZSA_ROTATED;1;4;2213.0;0.02444234761324796
V2;KANIZSA_ROTATED;1;5;2213.0;0.025921225547790527
V2;KANIZSA_ROTATED;1;6;2213.0;0.027646552432667126
V2;KANIZSA_ROTATED;1;7;2213.0;0.025921225547790527
V2;KANIZSA_ROTATED;1;8;2213.0;0.021977554668079723
