ROI;Condition;Subject;Depth;PSC
V1;PS;3;2;-0.904223580974192
V1;PS;3;3;-1.1292023652170977
V1;PS;3;4;-1.440370742671013
V1;PS;3;5;-1.8156227321206055
V1;PS;3;6;-2.324729967134223
V1;PS;3;7;-2.9062281291231993
V1;PS;3;8;-3.5671771802564374
V1;PS;3;9;-4.236792399317484
V1;PS;3;10;-4.652210332778371
V1;PS;4;0;-1.1738749465297604
V1;PS;4;1;-1.1959411352704958
V1;PS;4;2;-1.2131417375115676
V1;PS;4;3;-1.287591683230751
V1;PS;4;4;-1.419652056593313
V1;PS;4;5;-1.6409934332904645
V1;PS;4;6;-2.038612226714159
V1;PS;4;7;-2.572955786225482
V1;PS;4;8;-3.290884475004884
V1;PS;4;9;-4.086208144809377
V1;PS;4;10;-4.476984421173248
V1;PS;5;0;-1.4396178524294703
V1;PS;5;1;-1.6380659020331072
V1;PS;5;2;-2.08551738829769
V1;PS;5;3;-2.605714113587615
V1;PS;5;4;-3.209491368355349
V1;PS;5;5;-3.762195024793454
V1;PS;5;6;-4.212019023049069
V1;PS;5;7;-4.574535473376191
V1;PS;5;8;-4.860761128808136
V1;PS;5;9;-5.057442169037152
V1;PS;5;10;-5.136502388068068
V1;PS;6;0;-1.1652279555160232
V1;PS;6;1;-1.1859113533667567
V1;PS;6;2;-1.313590257805672
V1;PS;6;3;-1.4466671525888657
V1;PS;6;4;-1.5823159522483758
V1;PS;6;5;-1.7253055506861266
V1;PS;6;6;-1.8427030012248453
V1;PS;6;7;-1.910108574083655
V1;PS;6;8;-1.948794879303283
V1;PS;6;9;-1.9510103493958257
V1;PS;6;10;-1.9601971489381895
V1;CD;0;0;-1.0258978222375383
V1;CD;0;1;-1.1310399869038794
V1;CD;0;2;-1.4075143280583462
V1;CD;0;3;-1.7714165631077017
V1;CD;0;4;-2.188588781928905
V1;CD;0;5;-2.6462250311031132
V1;CD;0;6;-3.1266350857819383
V1;CD;0;7;-3.589135586569536
V1;CD;0;8;-4.029347932383462
V1;CD;0;9;-4.330368069142027
V1;CD;0;10;-4.46301758103042
V1;CD;1;0;-1.8406138729711206
V1;CD;1;1;-1.9850423394545322
V1;CD;1;2;-2.354288043905531
V1;CD;1;3;-2.856773991384135
V1;CD;1;4;-3.3994618369202727
V1;CD;1;5;-3.9817381349899184
V1;CD;1;6;-4.671291413294369
V1;CD;1;7;-5.432613320269901
V1;CD;1;8;-6.232327890593841
V1;CD;1;9;-6.937969062756457
V1;CD;1;10;-7.286769107028872
V1;CD;2;0;-0.8254987582811488
V1;CD;2;1;-0.9750182052914554
V1;CD;2;2;-1.164127273365268
V1;CD;2;3;-1.3852234019125835
V1;CD;2;4;-1.6073506488153206
V1;CD;2;5;-1.8681037750158005
V1;CD;2;6;-2.157019294526322
V1;CD;2;7;-2.4736389344172727
V1;CD;2;8;-2.830369113778791
V1;CD;2;9;-3.1498236190712503
V1;CD;2;10;-3.2999710782109917
V1;CD;3;0;-0.9718262068667953
V1;CD;3;1;-1.007891080326242
V1;CD;3;2;-1.1034555206789625
V1;CD;3;3;-1.3185280219471456
V1;CD;3;4;-1.6822139564042815
V1;CD;3;5;-2.1561887661659465
V1;CD;3;6;-2.7786509430905735
