ROI;Condition;Subject;Volume;Vertices;PSC
V1;KANIZSA;3;10;1228.0;0.004433770293539348
V1;KANIZSA_ROTATED;0;0;1479.0;-0.0021513266996903853
V1;KANIZSA_ROTATED;0;1;1479.0;-0.0017210516062649813
V1;KANIZSA_ROTATED;0;2;1479.0;-0.003257729790427468
V1;KANIZSA_ROTATED;0;3;1479.0;-0.004487059333107688
V1;KANIZSA_ROTATED;0;4;1479.0;-0.004548522559079257
V1;KANIZSA_ROTATED;0;5;1479.0;-0.008175053379752419
V1;KANIZSA_ROTATED;0;6;1479.0;-0.004056789658286355
V1;KANIZSA_ROTATED;0;7;1479.0;-0.003872394561767578
V1;KANIZSA_ROTATED;0;8;1479.0;-0.004548517140475186
V1;KANIZSA_ROTATED;0;9;1479.0;-0.0018440051512284713
V1;KANIZSA_ROTATED;0;10;1479.0;0.0006761442531238903
V1;KANIZSA_ROTATED;1;0;541.0;0.0006721507419239391
V1;KANIZSA_ROTATED;1;1;541.0;-0.0011762597344138405
V1;KANIZSA_ROTATED;1;2;541.0;-0.003024686466563832
V1;KANIZSA_ROTATED;1;3;541.0;-0.010082336989316073
V1;KANIZSA_ROTATED;1;4;541.0;-0.0052932229909029875
V1;KANIZSA_ROTATED;1;5;541.0;-0.007225665179165927
V1;KANIZSA_ROTATED;1;6;541.0;-0.003276749090714888
V1;KANIZSA_ROTATED;1;7;541.0;0.0010082559152082963
V1;KANIZSA_ROTATED;1;8;541.0;-0.0008401924913579768
V1;KANIZSA_ROTATED;1;9;541.0;0.003696853464299982
V1;KANIZSA_ROTATED;1;10;541.0;0.004453030499545011
V1;KANIZSA_ROTATED;2;0;1408.0;-0.0010330568660389292
V1;KANIZSA_ROTATED;2;1;1408.0;-0.0005165284330194646
V1;KANIZSA_ROTATED;2;2;1408.0;0.0
V1;KANIZSA_ROTATED;2;3;1408.0;-0.003744840621948242
V1;KANIZSA_ROTATED;2;4;1408.0;-0.005746386267922141
V1;KANIZSA_ROTATED;2;5;1408.0;-0.0066503123803572225
V1;KANIZSA_ROTATED;2;6;1408.0;-0.005746391686526212
V1;KANIZSA_ROTATED;2;7;1408.0;-0.003099170598116788
V1;KANIZSA_ROTATED;2;8;1408.0;-0.00393853404305198
V1;KANIZSA_ROTATED;2;9;1408.0;-0.0008393580263311213
V1;KANIZSA_ROTATED;2;10;1408.0;0.0005811019377274947
V1;KANIZSA_ROTATED;3;0;1228.0;-0.0010330568660389292
V1;KANIZSA_ROTATED;3;1;1228.0;-0.0005165284330194646
V1;KANIZSA_ROTATED;3;2;1228.0;0.0
V1;KANIZSA_ROTATED;3;3;1228.0;-0.003744840621948242
V1;KANIZSA_ROTATED;3;4;1228.0;-0.005746386267922141
V1;KANIZSA_ROTATED;3;5;1228.0;-0.0066503123803572225
V1;KANIZSA_ROTATED;3;6;1228.0;-0.005746391686526212
V1;KANIZSA_ROTATED;3;7;1228.0;-0.003099170598116788
V1;KANIZSA_ROTATED;3;8;1228.0;-0.00393853404305198
V1;KANIZSA_ROTATED;3;9;1228.0;-0.0008393580263311213
V1;KANIZSA_ROTATED;3;10;1228.0;0.0005811019377274947
V2;BRIGHT_SQUARE;0;0;1479.0;0.0007990544492548162
V2;BRIGHT_SQUARE;0;1;1479.0;-6.145238876342773e-05
V2;BRIGHT_SQUARE;0;2;1479.0;-0.004118258302861994
V2;BRIGHT_SQUARE;0;3;1479.0;-0.007744783704931086
V2;BRIGHT_SQUARE;0;4;1479.0;-0.010264922272075306
V2;BRIGHT_SQUARE;0;5;1479.0;-0.01069518652829257
V2;BRIGHT_SQUARE;0;6;1479.0;-0.013338246128775856
V2;BRIGHT_SQUARE;0;7;1479.0;-0.005962252616882324
V2;BRIGHT_SQUARE;0;8;1479.0;0.00043025341900912196
V2;BRIGHT_SQUARE;0;9;1479.0;-0.004425590688532049
V2;BRIGHT_SQUARE;0;10;1479.0;-0.0038723837245594373
V2;BRIGHT_SQUARE;1;0;541.0;0.002520588311282071
V2;BRIGHT_SQUARE;1;1;541.0;0.0008402141657742587
V2;BRIGHT_SQUARE;1;2;541.0;-0.0012602860277349298
V2;BRIGHT_SQUARE;1;3;541.0;-0.008654009212147106
