ROI;Condition;Subject;Depth;PSC
V1;PS;0;1;-0.9846192462138343
V1;PS;0;2;-1.4166982537670507
V1;PS;0;3;-1.929402616292407
V1;PS;0;4;-2.4375950307785206
V1;PS;0;5;-2.940426292844711
V1;PS;0;6;-3.4363806185348507
V1;PS;0;7;-3.902047264985876
V1;PS;0;8;-4.283013279311506
V1;PS;0;9;-4.517130226899693
V1;PS;0;10;-4.631845504499405
V1;PS;1;0;-2.114858787251324
V1;PS;1;1;-2.3079171587002194
V1;PS;1;2;-2.6536161519006036
V1;PS;1;3;-3.0872950104955366
V1;PS;1;4;-3.5938046128310557
V1;PS;1;5;-4.1606563337111
V1;PS;1;6;-4.866849455822475
V1;PS;1;7;-5.674251341805256
V1;PS;1;8;-6.531175591289419
V1;PS;1;9;-7.209532288115003
V1;PS;1;10;-7.450575620402187
V1;PS;2;0;-0.7283167590491727
V1;PS;2;1;-0.7743309428125048
V1;PS;2;2;-0.8873380604272261
V1;PS;2;3;-0.9876630912681498
V1;PS;2;4;-1.1573434879890425
V1;PS;2;5;-1.3918323059621502
V1;PS;2;6;-1.7071690553923449
V1;PS;2;7;-2.0576905582063123
V1;PS;2;8;-2.440235397494535
V1;PS;2;9;-2.7870010659171682
V1;PS;2;10;-2.9442318418235702
V1;PS;3;0;-0.7375497775292517
V1;PS;3;1;-0.8128142460378246
V1;PS;3;2;-0.9397413982420225
V1;PS;3;3;-1.1668517227911932
V1;PS;3;4;-1.4660278029982972
V1;PS;3;5;-1.8247399830531614
V1;PS;3;6;-2.3135729580574584
V1;PS;3;7;-2.869070741668816
V1;PS;3;8;-3.497795815981373
V1;PS;3;9;-4.1364012503095875
V1;PS;3;10;-4.535766433191159
V1;PS;4;0;-1.2968912988236463
V1;PS;4;1;-1.3289393600937636
V1;PS;4;2;-1.4006579353226762
V1;PS;4;3;-1.526212480367307
V1;PS;4;4;-1.6844572841566228
V1;PS;4;5;-1.9221154837402152
V1;PS;4;6;-2.316625465127435
V1;PS;4;7;-2.8269889886849513
V1;PS;4;8;-3.4710544319101797
V1;PS;4;9;-4.174294832230354
V1;PS;4;10;-4.5446614166174735
V1;PS;5;0;-1.539354394196468
V1;PS;5;1;-1.68637787060297
V1;PS;5;2;-2.026996907876203
V1;PS;5;3;-2.4372007024748825
V1;PS;5;4;-2.9120921917396307
V1;PS;5;5;-3.341897800536659
V1;PS;5;6;-3.74202299905582
V1;PS;5;7;-4.094212943901043
V1;PS;5;8;-4.400958122824073
V1;PS;5;9;-4.631033526005373
V1;PS;5;10;-4.708573595513911
V1;PS;6;0;-1.1064504527101393
V1;PS;6;1;-1.0946962592083138
V1;PS;6;2;-1.2391927539090284
V1;PS;6;3;-1.4005344100221935
V1;PS;6;4;-1.5368399013933156
V1;PS;6;5;-1.6589630751003746
V1;PS;6;6;-1.7600262978215047
V1;PS;6;7;-1.825259918040733
V1;PS;6;8;-1.8657608880547643
V1;PS;6;9;-1.870695443671274
V1;PS;6;10;-1.8814791448801793
V1;CD;0;0;-0.9063115133076954
V1;CD;0;1;-1.0053631145295463
V1;CD;0;2;-1.3006374142535608
V1;CD;0;3;-1.7281720263218936
V1;CD;0;4;-2.203176909497425
