ROI;Condition;Subject;Volume;Vertices;PSC
V1;KANIZSA_ROTATED;0;13;13046.0;-0.00040416284040971237
V1;KANIZSA_ROTATED;0;14;13046.0;-0.0017420812086625533
V1;KANIZSA_ROTATED;0;15;13046.0;4.180994900790128e-05
V1;KANIZSA_ROTATED;0;16;13046.0;-0.0013518550179221413
V1;KANIZSA_ROTATED;0;17;13046.0;-0.0030242529782381926
V1;KANIZSA_ROTATED;0;18;13046.0;-0.0026340267874977803
V1;KANIZSA_ROTATED;0;19;13046.0;-0.002745519984852184
V1;KANIZSA_ROTATED;1;0;6435.0;0.0008900328115983443
V1;KANIZSA_ROTATED;1;1;6435.0;0.0008335113525390625
V1;KANIZSA_ROTATED;1;2;6435.0;-0.001765906810760498
V1;KANIZSA_ROTATED;1;3;6435.0;0.0009465434334494851
V1;KANIZSA_ROTATED;1;4;6435.0;0.00032492117448286575
V1;KANIZSA_ROTATED;1;5;6435.0;0.0004944584586403587
V1;KANIZSA_ROTATED;1;6;6435.0;0.0008900057185779918
V1;KANIZSA_ROTATED;1;7;6435.0;0.0015681331807916815
V1;KANIZSA_ROTATED;1;8;6435.0;0.0028678395531394267
V1;KANIZSA_ROTATED;1;9;6435.0;0.0029243339191783557
V1;KANIZSA_ROTATED;1;10;6435.0;0.001116059043190696
V1;KANIZSA_ROTATED;1;11;6435.0;0.002641807902943004
V1;KANIZSA_ROTATED;1;12;6435.0;0.0037719769911332564
V1;KANIZSA_ROTATED;1;13;6435.0;0.008292740041559393
V1;KANIZSA_ROTATED;1;14;6435.0;0.00642792745070024
V1;KANIZSA_ROTATED;1;15;6435.0;0.007219032807783647
V1;KANIZSA_ROTATED;1;16;6435.0;0.004958672956986861
V1;KANIZSA_ROTATED;1;17;6435.0;0.002754807472229004
V1;KANIZSA_ROTATED;1;18;6435.0;0.0015681331807916815
V1;KANIZSA_ROTATED;1;19;6435.0;0.003545934503728693
V1;KANIZSA_ROTATED;2;0;6350.0;0.0034645795822143555
V1;KANIZSA_ROTATED;2;1;6350.0;0.0023765022104436703
V1;KANIZSA_ROTATED;2;2;6350.0;0.0008875890211625533
V1;KANIZSA_ROTATED;2;3;6350.0;-0.0004867423664439808
V1;KANIZSA_ROTATED;2;4;6350.0;-0.0008303252133456143
V1;KANIZSA_ROTATED;2;5;6350.0;0.00243377685546875
V1;KANIZSA_ROTATED;2;6;6350.0;0.0002576979723843661
V1;KANIZSA_ROTATED;2;7;6350.0;-0.000372214750810103
V1;KANIZSA_ROTATED;2;8;6350.0;0.0002004450017755682
V1;KANIZSA_ROTATED;2;9;6350.0;-0.0022619854320179334
V1;KANIZSA_ROTATED;2;10;6350.0;-0.003006436608054421
V1;KANIZSA_ROTATED;2;11;6350.0;-0.0016893310980363326
V1;KANIZSA_ROTATED;2;12;6350.0;0.0015748197382146661
V1;KANIZSA_ROTATED;2;13;6350.0;0.003922679207541726
V1;KANIZSA_ROTATED;2;14;6350.0;0.0018038424578579989
V1;KANIZSA_ROTATED;2;15;6350.0;0.003922711719166149
V1;KANIZSA_ROTATED;2;16;6350.0;0.003979953852566806
V1;KANIZSA_ROTATED;2;17;6350.0;0.0035791071978482332
V1;KANIZSA_ROTATED;2;18;6350.0;0.005755175243724476
V1;KANIZSA_ROTATED;2;19;6350.0;-0.00020041249015114525
V1;KANIZSA_ROTATED;3;0;4792.0;0.0
V1;KANIZSA_ROTATED;3;1;4792.0;0.0010661454871027402
V1;KANIZSA_ROTATED;3;2;4792.0;0.002157577838826752
V1;KANIZSA_ROTATED;3;3;4792.0;-0.0006311615883876985
V1;KANIZSA_ROTATED;3;4;4792.0;-0.0016540221772868896
V1;KANIZSA_ROTATED;3;5;4792.0;0.002048871733925529
V1;KANIZSA_ROTATED;3;6;4792.0;0.0028638114042441472
V1;KANIZSA_ROTATED;3;7;4792.0;-0.0016292754022951726
V1;KANIZSA_ROTATED;3;8;4792.0;-0.003806184749051609
V1;KANIZSA_ROTATED;3;9;4792.0;-0.0032360590979992384
V1;KANIZSA_ROTATED;3;10;4792.0;-0.001487177167840465
V1;KANIZSA_ROTATED;3;11;4792.0;-0.0031107514540588033
V1;KANIZSA_ROTATED;3;12;4792.0;0.000993480365783455
V1;KANIZSA_ROTATED;3;13;4792.0;0.004622366941530842
V1;KANIZSA_ROTATED;3;14;4792.0;0.006544701155624152
V1;KANIZSA_ROTATED;3;15;4792.0;0.005950255078662556
V1;KANIZSA_ROTATED;3;16;4792.0;0.0006536468543840106
V1;KANIZSA_ROTATED;3;17;4792.0;0.001481451070002264
V1;KANIZSA_ROTATED;3;18;4792.0;0.0027954140400097745
V1;KANIZSA_ROTATED;3;19;4792.0;0.0
V1;BRIGHT_SQUARE;0;0;13046.0;-0.00029266964305530894
V1;BRIGHT_SQUARE;0;1;13046.0;0.0007107691331343217
V1;BRIGHT_SQUARE;0;2;13046.0;-0.0005156560377641158
V1;BRIGHT_SQUARE;0;3;13046.0;-0.0019650676033713603
V1;BRIGHT_SQUARE;0;4;13046.0;-0.002912759780883789
V1;BRIGHT_SQUARE;0;5;13046.0;-0.0009058822285045277
V1;BRIGHT_SQUARE;0;6;13046.0;-0.0016305880113081498
V1;BRIGHT_SQUARE;0;7;13046.0;-0.0024667869914661755
V1;BRIGHT_SQUARE;0;8;13046.0;-0.0011846152218905363
V1;BRIGHT_SQUARE;0;9;13046.0;-0.002745519984852184
V1;BRIGHT_SQUARE;0;10;13046.0;-0.003971945155750622
V1;BRIGHT_SQUARE;0;11;13046.0;-0.0025225335901433773
V1;BRIGHT_SQUARE;0;12;13046.0;-0.0028570131822065873
V1;BRIGHT_SQUARE;0;13;13046.0;-0.0011846152218905363
V1;BRIGHT_SQUARE;0;14;13046.0;0.002327420494773171
V1;BRIGHT_SQUARE;0;15;13046.0;0.0002090497450395064
V1;BRIGHT_SQUARE;0;16;13046.0;4.180994900790128e-05
V1;BRIGHT_SQUARE;0;17;13046.0;-0.0019650676033713603
V1;BRIGHT_SQUARE;0;18;13046.0;-0.0009616288271817294
V1;BRIGHT_SQUARE;0;19;13046.0;-0.0005714026364413174
V1;BRIGHT_SQUARE;1;0;6435.0;-0.0004097006537697532
V1;BRIGHT_SQUARE;1;1;6435.0;0.00642792745070024
V1;BRIGHT_SQUARE;1;2;6435.0;0.002754807472229004
V1;BRIGHT_SQUARE;1;3;6435.0;-0.001200811429457231
V1;BRIGHT_SQUARE;1;4;6435.0;-0.0021049542860551314
V1;BRIGHT_SQUARE;1;5;6435.0;0.002415776252746582
V1;BRIGHT_SQUARE;1;6;6435.0;0.0032633976502852006
V1;BRIGHT_SQUARE;1;7;6435.0;0.002415765415538441
V1;BRIGHT_SQUARE;1;8;6435.0;9.890036149458452e-05
V1;BRIGHT_SQUARE;1;9;6435.0;0.00015538389032537287
V1;BRIGHT_SQUARE;1;10;6435.0;0.0017376704649491744
V1;BRIGHT_SQUARE;1;11;6435.0;0.0041675567626953125
V1;BRIGHT_SQUARE;1;12;6435.0;0.0026983239433982158
V1;BRIGHT_SQUARE;1;13;6435.0;0.008405739610845392
V1;BRIGHT_SQUARE;1;14;6435.0;0.008462244814092463
V1;BRIGHT_SQUARE;1;15;6435.0;0.006540937857194381
V1;BRIGHT_SQUARE;1;16;6435.0;0.00727557052265514
V1;BRIGHT_SQUARE;1;17;6435.0;0.00399803031574596
V1;BRIGHT_SQUARE;1;18;6435.0;0.0008900057185779918
V1;BRIGHT_SQUARE;1;19;6435.0;0.000550963661887429
V1;BRIGHT_SQUARE;2;0;6350.0;0.0032355135137384586
V1;BRIGHT_SQUARE;2;1;6350.0;0.00552612001245672
V1;BRIGHT_SQUARE;2;2;6350.0;-0.0009448690847917037
V1;BRIGHT_SQUARE;2;3;6350.0;0.00031495094299316406
V1;BRIGHT_SQUARE;2;4;6350.0;0.0008303252133456143
V1;BRIGHT_SQUARE;2;5;6350.0;0.0026628537611527877
V1;BRIGHT_SQUARE;2;6;6350.0;0.0006585663015192205
V1;BRIGHT_SQUARE;2;7;6350.0;0.0007730614055286754
V1;BRIGHT_SQUARE;2;8;6350.0;0.0005440170114690608
V1;BRIGHT_SQUARE;2;9;6350.0;0.00105938044461337
