ROI;Condition;Subject;Depth;PSC
V1;PS;1;9;-1.3472637357891069
V1;PS;1;10;-1.4357504525988167
V1;PS;2;0;0.6399210235305123
V1;PS;2;1;0.4825371965784161
V1;PS;2;2;0.4788568773918758
V1;PS;2;3;0.5654541084810134
V1;PS;2;4;0.6789029323559511
V1;PS;2;5;0.7560782604711903
V1;PS;2;6;0.7582807486616938
V1;PS;2;7;0.6888773450897112
V1;PS;2;8;0.5553942102045883
V1;PS;2;9;0.3653575044556695
V1;PS;2;10;0.12629338829229958
V1;PS;3;0;0.0770564366531347
V1;PS;3;1;0.09693993645687315
V1;PS;3;2;-0.011220038327185027
V1;PS;3;3;-0.1981059498223935
V1;PS;3;4;-0.41440026015210574
V1;PS;3;5;-0.6109726499939204
V1;PS;3;6;-0.7538919511332568
V1;PS;3;7;-0.8354031447358415
V1;PS;3;8;-0.8503393212612851
V1;PS;3;9;-0.7935335711691966
V1;PS;3;10;-0.6598189849191849
V1;PS;4;0;0.5043047663356568
V1;PS;4;1;0.3753828207738611
V1;PS;4;2;0.28999722039152265
V1;PS;4;3;0.2258078662014709
V1;PS;4;4;0.1604746592165348
V1;PS;4;5;0.07177173144407568
V1;PS;4;6;-0.053253056048475994
V1;PS;4;7;-0.2115805214622312
V1;PS;4;8;-0.39861235372989373
V1;PS;4;9;-0.6097502417841674
V1;PS;4;10;-0.8403958745577558
V1;PS;5;0;0.14490898649871586
V1;PS;5;1;0.025953667296782564
V1;PS;5;2;0.06388933729645288
V1;PS;5;3;0.1599754484691061
V1;PS;5;4;0.21547145278612143
V1;PS;5;5;0.13248788451959712
V1;PS;5;6;-0.11777045655681852
V1;PS;5;7;-0.4451038477121833
V1;PS;5;8;-0.7475472044904207
V1;PS;5;9;-0.9231354424354532
V1;PS;5;10;-0.8699034770912032
V1;PS;6;0;0.24717866946642372
V1;PS;6;1;0.2785034261866153
V1;PS;6;2;0.3202796778511901
V1;PS;6;3;0.3628335479780005
V1;PS;6;4;0.3964911600848986
V1;PS;6;5;0.41164017477011466
V1;PS;6;6;0.4036640789652699
V1;PS;6;7;0.3765502280320868
V1;PS;6;8;0.3351366659314312
V1;PS;6;9;0.28426143662416836
V1;PS;6;10;0.22876258407116362
V1;CD;0;0;0.570155224406355
V1;CD;0;1;0.45063573844020893
V1;CD;0;2;0.4448304511594094
V1;CD;0;3;0.4979144390115697
V1;CD;0;4;0.555062778444303
V1;CD;0;5;0.5617210534623467
V1;CD;0;6;0.48529573358796496
V1;CD;0;7;0.33101457295022363
V1;CD;0;8;0.10784482214786636
V1;CD;0;9;-0.17524626822036363
V1;CD;0;10;-0.5092914475557234
V1;CD;1;0;-0.5513190447969044
V1;CD;1;1;-0.4602055021286743
V1;CD;1;2;-0.3600917558843462
V1;CD;1;3;-0.29463011387353033
V1;CD;1;4;-0.3074728839058365
V1;CD;1;5;-0.44177105398367095
V1;CD;1;6;-0.6999764648814184
V1;CD;1;7;-1.0144484272094745
V1;CD;1;8;-1.3106160065634522
V1;CD;1;9;-1.5139082685389647
V1;CD;1;10;-1.549754278731624
V1;CD;2;0;0.3070717615200724
V1;CD;2;1;0.3131297354982048
V1;CD;2;2;0.38277196209176606
V1;CD;2;3;0.47086813236629543
V1;CD;2;4;0.5322879373873326
V1;CD;2;5;0.5222602335366988
V1;CD;2;6;0.4251723542332634
V1;CD;2;7;0.27562869075719465
V1;CD;2;8;0.11319873572094566
V1;CD;2;9;-0.022548018263031173
V1;CD;2;10;-0.0920420785822831
V1;CD;3;0;-0.4992786285074307
V1;CD;3;1;-0.27690862680341555
V1;CD;3;2;-0.2822771599291952
V1;CD;3;3;-0.44416950066174354
V1;CD;3;4;-0.6913709217780344
V1;CD;3;5;-0.9528856043526083
V1;CD;3;6;-1.1754895806896568
V1;CD;3;7;-1.336565765625946
V1;CD;3;8;-1.416523262303806
V1;CD;3;9;-1.3957711738655658
V1;CD;3;10;-1.2547186034535533
V1;CD;4;0;-0.01656523225800615
V1;CD;4;1;0.08816882801069703
V1;CD;4;2;0.19917117960840564
V1;CD;4;3;0.26828700031824115
V1;CD;4;4;0.24736146792332506
V1;CD;4;5;0.08880758274146949
V1;CD;4;6;-0.20886355025321185
